stream	min_score	max_score	interest	college_name	college_course	college_fee	college_chance	match_score	career_title	career_desc	career_growth
PCM	85	100	Computer Science	IIT Bombay	B.Tech Computer Science	250000	Medium	95	AI Engineer	Develop machine learning models and AI systems for top tech firms.	+24% YoY
PCM	85	100	Computer Science	IIT Delhi	B.Tech Computer Science	230000	Medium	94	Software Architect	Design large-scale distributed systems and cloud infrastructure.	+22% YoY
PCM	85	100	Computer Science	IIT Madras	B.Tech Computer Science	220000	Medium	93	Data Scientist	Analyze complex datasets to drive strategic business decisions.	+20% YoY
PCM	85	100	Computer Science	IIT Kharagpur	B.Tech Computer Science	200000	Medium	92	Cybersecurity Engineer	Protect organizational systems from cyber threats and vulnerabilities.	+19% YoY
PCM	85	100	Computer Science	IIT Kanpur	B.Tech Computer Science	210000	Medium	91	ML Research Scientist	Conduct cutting-edge research in machine learning and AI.	+21% YoY
PCM	85	100	Computer Science	BITS Pilani	B.E. Computer Science	320000	High	90	Full Stack Developer	Build end-to-end web applications using modern frameworks.	+17% YoY
PCM	85	100	Computer Science	IIT Roorkee	B.Tech Computer Science	205000	Medium	89	Cloud Architect	Design and manage cloud infrastructure on AWS/GCP/Azure.	+18% YoY
PCM	85	100	Computer Science	IIT Hyderabad	B.Tech Computer Science	200000	Medium	88	DevOps Engineer	Automate and streamline software deployment pipelines.	+16% YoY
PCM	85	100	Computer Science	IIT Guwahati	B.Tech Computer Science	195000	Medium	87	Blockchain Developer	Build decentralized applications and smart contracts.	+15% YoY
PCM	85	100	Computer Science	IIIT Hyderabad	B.Tech Computer Science	350000	High	89	Product Engineer	Drive end-to-end product development at top tech companies.	+18% YoY
PCM	85	100	Electronics	IIT Bombay	B.Tech Electrical Engineering	250000	Medium	90	VLSI Design Engineer	Design integrated circuits for semiconductor companies.	+16% YoY
PCM	85	100	Electronics	IIT Delhi	B.Tech Electronics & Communication	230000	Medium	89	Embedded Systems Engineer	Develop firmware and embedded software for IoT devices.	+14% YoY
PCM	85	100	Electronics	IIT Madras	B.Tech Electrical Engineering	220000	Medium	88	Signal Processing Engineer	Design algorithms for audio, video and communications systems.	+13% YoY
PCM	85	100	Electronics	IIT Kharagpur	B.Tech ECE	200000	Medium	87	RF Engineer	Design radio-frequency systems for telecom and defense.	+12% YoY
PCM	85	100	Electronics	BITS Pilani	B.E. Electronics	320000	High	86	Hardware Engineer	Design and test electronic hardware for consumer products.	+11% YoY
PCM	85	100	Mechanical	IIT Bombay	B.Tech Mechanical Engineering	250000	Medium	88	Aerospace Engineer	Design aircraft and spacecraft components and systems.	+15% YoY
PCM	85	100	Mechanical	IIT Delhi	B.Tech Mechanical Engineering	230000	Medium	87	Automotive Engineer	Develop next-generation electric and autonomous vehicles.	+14% YoY
PCM	85	100	Mechanical	BITS Pilani	B.E. Mechanical	550000	High	92	Robotics Engineer	Design and build advanced robotics and automation systems.	+18% YoY
PCM	85	100	Mechanical	IIT Madras	B.Tech Mechanical Engineering	220000	Medium	86	Manufacturing Engineer	Optimize production lines and manufacturing processes.	+10% YoY
PCM	85	100	Mechanical	IIT Roorkee	B.Tech Mechanical Engineering	205000	Medium	85	Energy Engineer	Develop renewable energy systems and efficiency solutions.	+20% YoY
PCM	85	100	Civil	IIT Bombay	B.Tech Civil Engineering	250000	Medium	85	Structural Engineer	Design bridges, buildings and large infrastructure projects.	+8% YoY
PCM	85	100	Civil	IIT Delhi	B.Tech Civil Engineering	230000	Medium	84	Urban Planner	Plan sustainable cities and transportation networks.	+9% YoY
PCM	85	100	Civil	IIT Roorkee	B.Tech Civil Engineering	205000	Medium	83	Geotechnical Engineer	Analyze soil and rock for construction projects.	+7% YoY
PCM	85	100	Mathematics	IIT Bombay	B.S. Mathematics	220000	Medium	88	Quantitative Analyst	Apply mathematical models to financial markets and risk.	+22% YoY
